cardisprice,Model,Kilometer,fueltype,carfunc,Carbrand,Carmodel
307299.0,2009,99864.0,Petrol,Automatic,Toyota,Camry
901299.0,2020,6981.0,Petrol,Manual,Skoda,Rapid
492399.0,2016,18274.0,Petrol,Manual,Hyundai,Elite
1653299.0,2010,42372.0,Petrol,Manual,Mercedes,Benz
738999.0,2016,97103.0,Diesel,Manual,Maruti,Vitara
880699.0,2015,110584.0,Diesel,Manual,Hyundai,Creta
876399.0,2016,36863.0,Petrol,Manual,Hyundai,Creta
952499.0,2020,4489.0,Petrol,Manual,Hyundai,VENUE
534399.0,2016,82420.0,Diesel,Manual,Maruti,Swift
1110499.0,2019,1810.0,Petrol,Automatic,Honda,City
707599.0,2018,11852.0,Petrol,Manual,Honda,Amaze
520599.0,2016,6319.0,Petrol,Manual,Hyundai,Verna
1106599.0,2017,52753.0,Diesel,Automatic,Hyundai,Creta
352199.0,2019,21494.0,Petrol,Manual,Maruti,Alto
513299.0,2015,64342.0,Petrol,Manual,Hyundai,Elite
518299.0,2018,43686.0,Petrol,Manual,Volkswagen,Polo
574899.0,2017,57900.0,Petrol,Manual,Hyundai,i20
615799.0,2019,34532.0,Petrol,Manual,Hyundai,Elite
520799.0,2014,43096.0,Petrol,Manual,Hyundai,Elite
810999.0,2018,59639.0,Diesel,Manual,Maruti,Vitara
692499.0,2017,100164.0,Petrol,Manual,Honda,WR-V
596499.0,2016,82548.0,Diesel,Manual,Hyundai,i20
723799.0,2017,37871.0,Petrol,Manual,Honda,WR-V
858099.0,2019,2407.0,Petrol,Automatic,Toyota,Glanza
637799.0,2017,38194.0,Petrol,Automatic,Maruti,Dzire
516399.0,2018,47965.0,Diesel,Manual,Ford,Figo
638699.0,2017,54659.0,Diesel,Automatic,Maruti,Dzire
911699.0,2019,11482.0,Diesel,Manual,Hyundai,VENUE
694199.0,2017,107185.0,Diesel,Manual,Maruti,Dzire
525999.0,2017,40991.0,Petrol,Manual,Hyundai,Elite
737699.0,2017,40204.0,Diesel,Manual,Maruti,Dzire
1084899.0,2016,39104.0,Petrol,Automatic,Hyundai,Creta
322799.0,2014,81428.0,Petrol,Manual,Maruti,Wagon
303199.0,2017,31147.0,Petrol,Manual,Renault,Kwid
532199.0,2016,50022.0,Petrol,Manual,Maruti,Baleno
364599.0,2014,22732.0,Petrol,Manual,Maruti,Celerio
609899.0,2017,68595.0,Diesel,Manual,Hyundai,Elite
1020399.0,2019,35592.0,Diesel,Manual,Hyundai,VENUE
707299.0,2019,19590.0,Diesel,Manual,Maruti,Swift
636899.0,2018,48214.0,Petrol,Manual,Honda,Amaze
905099.0,2015,89358.0,Diesel,Manual,Toyota,Innova
909099.0,2018,48945.0,Diesel,Manual,Hyundai,Creta
1849799.0,2019,5348.0,Petrol,,KIA,SELTOS
1612099.0,2019,34292.0,Diesel,Automatic,KIA,SELTOS
593799.0,2017,6610.0,Petrol,Manual,Hyundai,Elite
1778199.0,2019,12046.0,Petrol,Manual,KIA,SELTOS
533999.0,2017,48530.0,Petrol,Manual,Maruti,Baleno
747099.0,2017,12773.0,Petrol,Automatic,Volkswagen,Polo
590199.0,2017,69269.0,Petrol,Manual,Maruti,Baleno
616499.0,2017,32251.0,Petrol,Manual,Hyundai,Elite
685399.0,2017,57820.0,Diesel,Manual,Mahindra,TUV300
880399.0,2017,118008.0,Diesel,Manual,Hyundai,Creta
580099.0,2016,64120.0,Diesel,Manual,Maruti,Swift
548299.0,2016,96899.0,Diesel,Manual,Maruti,Baleno
1663899.0,2019,22687.0,Petrol,Automatic,MG,HECTOR
637399.0,2017,11375.0,Petrol,Manual,Hyundai,Elite
1316099.0,2018,42360.0,Diesel,Manual,Hyundai,Creta
1557599.0,2020,20305.0,Diesel,Automatic,KIA,SELTOS
311699.0,2015,20419.0,Petrol,Manual,Hyundai,Eon
662299.0,2018,15755.0,Petrol,Manual,Maruti,Dzire
1050299.0,2018,18363.0,Petrol,Manual,Honda,City
730899.0,2020,15315.0,Petrol,Automatic,Maruti,Dzire
347099.0,2017,1140.0,Petrol,Manual,Hyundai,Eon
852499.0,2018,16911.0,Petrol,Manual,Ford,Ecosport
631899.0,2016,42062.0,Petrol,Automatic,Maruti,Baleno
602099.0,2016,48730.0,Petrol,Automatic,Volkswagen,Polo
